key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Needs ADL or IADL help,-16829.177599739236,-14793.975989119537,-27912.697836153642,-10156.616515448384,-25607.47529157658,-8793.009205954802,0.8840041213112312
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Mental health condition,-4582.4992855338805,-3622.7273309279462,-6303.346798997483,-2668.3469311285075,-5381.591457650336,-1751.1099142580713,0.9012047684642532
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Age 65 and over,6.129299345431946,1672.4098657087095,-2877.3149010904494,1922.9698690159762,-612.753824784797,3689.1032374250726,1.0591043788394068
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Uninsured all year,3251.474993594987,3478.9946222960502,1632.8419778334508,4197.361812503546,2002.5085446212681,4378.0863886677835,1.138586535468148
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Income below 200% FPL,175.75156290163366,1289.5923008123332,-1493.9270041379796,972.7207921028222,-201.87180657099327,1970.8209665500567,1.0094034181932636
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Hispanic,227.90640739556207,1065.552945050888,-1609.134325434348,1381.240112023613,-379.993766666837,2211.55809190408,0.9878985945378147
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Non-Hispanic Black,10.031012960529642,969.0318446681548,-1300.7811495570115,1077.7394974390745,-269.38365984678825,1885.969650893064,0.9899884589147718
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Non-Hispanic Asian,625.2683825072121,1291.7077680812067,-645.7396678304809,1594.9660224103038,-173.7321796648161,2252.1320325505085,0.9790178013241778
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Needs ADL or IADL help,-10985.57300168702,-7926.1733286907165,-22417.981229992438,-4751.34939788015,-17651.87962959526,-1812.9177332193447,0.945603132761032
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Mental health condition,626.2354832499583,2346.0491968931506,-1301.3776604058341,2466.956348002591,730.0742484054963,4108.720148028968,1.0560619301583687
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Age 65 and over,-365.8343365763944,1666.5455942067542,-2958.0102834486474,1578.1171702562683,-295.5874542968996,3561.191564405528,1.056495526269412
cms_dro_1,"CMS form, DRO (lambda=1)",dro,Uninsured all year,1202.3922391649678,1599.9385699440563,14.356126970655739,1945.3886757303626,487.9177568357668,2389.775698321399,1.03940827389523
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Income below 200% FPL,166.39913590232646,1277.1238484328526,-1502.367462008918,967.5996872146424,-211.58309034080094,2036.2904227177569,1.0094576548699281
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Hispanic,225.9218099042323,1086.0641973664474,-1610.1619061245328,1381.9403088356037,-323.19127728722015,2249.1468325346914,0.9878919259498372
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Non-Hispanic Black,6.3373926837628884,980.0016900999009,-1306.3206230495643,1068.4192964345073,-213.19895275189933,1923.314032425977,0.9899420461646736
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Non-Hispanic Asian,628.4248579599528,1346.9911024182127,-641.2885990918504,1597.9473325729705,-24.85275968255502,2364.595261874434,0.9819231039971237
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Needs ADL or IADL help,-11052.494255978318,-8095.5868760896865,-22456.91392990155,-4827.680955250614,-17808.613980504946,-2031.033952945116,0.9421548464605871
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Mental health condition,663.3335347653999,2412.478132879435,-1262.1081965435576,2498.0323527418896,746.019011129968,4087.8115900324824,1.0587512891839497
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Age 65 and over,-390.5567058009334,1583.6364945636014,-2971.4368766619295,1528.81842731773,-657.6473494961555,3548.15879782851,1.0561226123190477
cms_dro_2,"CMS form, DRO (lambda=2)",dro,Uninsured all year,1200.5436772905857,1578.8906930935966,16.21126044545871,1931.9376338983714,531.4498258830412,2347.1807781883044,1.0375847342155253
cms_dro_5,"CMS form, DRO (lambda=5)",dro,Income below 200% FPL,160.41914042462426,1257.7544711025976,-1507.7439182669546,964.5776774851621,-164.1216771955778,2106.267078192854,1.0093854567587959
cms_dro_5,"CMS form, DRO (lambda=5)",dro,Hispanic,225.42954505782822,1063.2639603802627,-1611.1212943853245,1383.4136341177004,-435.5080460148393,2224.254813536464,0.9879068042489962
cms_dro_5,"CMS form, DRO (lambda=5)",dro,Non-Hispanic Black,4.400804245564994,910.764783691298,-1310.113515537179,1059.8832934223437,-231.6711172264625,1931.0499508984362,0.9892045572249429
